rank,player,ability,n_singles,n_doubles,n_tot
125,Giannotti Andrea,99.52098846435547,0,3,3
126,Villani Lorenzo,99.48945617675781,5,11,16
127,Barbetti Roberto,99.47246551513672,4,0,4
128,Longhi Alberto,99.42718505859375,4,5,9
129,Rizza Michele,99.35690307617188,3,1,4
130,Tanganacci Giacomo,99.2966079711914,0,1,1
131,Pellegrini Sirio,99.29285430908203,0,1,1
132,Angeli Massimiliano,99.29285430908203,0,1,1
133,Rotondi Fabio,99.28656005859375,1,0,1
134,Maraviglia Daniele,99.27024841308594,0,1,1
135,Casini Jonathan,99.26678466796875,2,0,2
136,Gianluca Boccadamo,99.26567077636719,3,0,3
137,Domenici Riccardo,99.2128677368164,1,0,1
138,D'Olivo Alessio,99.18830108642578,3,2,5
139,Giusti Marco,99.1732406616211,0,4,4
140,Colombini Marco,99.1516342163086,3,3,6
141,Bartoli Duccio,99.12606048583984,3,1,4
142,Suffredini Michele,99.10904693603516,0,2,2
143,Lavorini Lorenzo,99.09589385986328,10,7,17
144,Baraldi Francesco,99.0938491821289,3,2,5
145,Serafini Gabriele,99.07023620605469,4,3,7
146,Giampaoli Luca,98.98992156982422,1,0,1
147,Pucci David,98.97329711914062,0,6,6
148,Matteucci Francesco,98.89852905273438,4,5,9
149,Torri Tommaso,98.89170837402344,0,2,2
150,Tuccori Stefano,98.84603881835938,3,0,3
151,Citti Fabio,98.82709503173828,2,1,3
152,Rosselli Massimiliano,98.71980285644531,0,1,1
153,Michael Gonnella,98.66217041015625,0,1,1
154,Tircani (?),98.65071105957031,1,0,1
155,Carlo Vangelisti,98.53767395019531,6,0,6
156,Borelli Emanuele,98.52259063720703,5,3,8
157,Lombardi Luca,98.35604858398438,3,1,4
158,Ricci Giulio,98.3526840209961,7,4,11
159,Aliberti Massimo,98.31086730957031,1,14,15
160,Meraviglia Daniele,98.27461242675781,0,1,1
161,Aranco (?),98.18746948242188,0,1,1
162,Giorgio Taccini,98.12920379638672,1,5,6
163,Accardo Luigi,98.12300872802734,1,3,4
164,Carlo Pucci,98.08363342285156,6,2,8
165,Bartolomei Maurizio,98.07636260986328,2,1,3
166,Lenzi Marco,98.07024383544922,0,5,5
167,Saverio Niccolini,98.05789184570312,3,2,5
168,Nottoli Marco,98.0508041381836,0,5,5
169,Lorenzo Giordano,98.04700469970703,0,1,1
170,Rovai Stefano,98.0157470703125,0,1,1
171,Godi Giuseppe,97.95568084716797,1,0,1
172,Tontini Davide,97.93476867675781,2,2,4
173,Nuti Edoardo,97.91007995605469,3,1,4
174,Del Tredici Gabriele,97.88045501708984,1,3,4
175,Davini Matteo,97.7963638305664,2,1,3
176,Vannucci Paolo,97.78965759277344,2,11,13
177,Andrea di Simo,97.75837707519531,3,1,4
178,Marchini Riccardo,97.74433898925781,9,2,11
179,Pieroni Marco,97.66629791259766,1,2,3
180,Rossellini Alessandro,97.60582733154297,1,0,1
181,Michele Liotta,97.56787872314453,2,1,3
182,Tincani Emanuele,97.56512451171875,1,1,2
183,Buchignani Paolo,97.53582000732422,0,4,4
184,Mambrucchi Francesco,97.48979187011719,1,1,2
185,Niccoli Riccardo,97.38860321044922,1,2,3
186,Papeschi (feroci),97.34715270996094,1,0,1
187,Serafini Daniele,97.33655548095703,1,0,1
188,Brogi Alessandro,97.3365478515625,1,0,1
189,Cola Flavio,97.30787658691406,4,7,11
190,Battiato Luca,97.2412338256836,1,0,1
191,Gori Luigi,97.18367004394531,0,2,2
192,Bandiera Stefano,97.18359375,1,2,3
193,Simonetti Fabrizio,97.16890716552734,1,1,2
194,Lunardi Emanuele,97.06527709960938,1,2,3
195,Paoletti Andrea,97.04076385498047,3,1,4
196,Asti Federico,96.9752197265625,2,6,8
197,Barsali Luca,96.96527099609375,1,9,10
198,Bertini Cristiano,96.9476318359375,0,2,2
199,Bertolacci Gabriele,96.9476318359375,0,2,2
200,Bertolaccini Alberto,96.81946563720703,1,4,5
201,Simi Luca,96.81085205078125,3,3,6
202,Alfredo Scarpellini,96.78166961669922,1,3,4
203,Bertoli Francesco,96.76423645019531,0,2,2
204,Pardi Michele,96.57064819335938,1,7,8
205,Vita Mirco,95.96745300292969,1,0,1
206,Benassi Fulvio,95.92984008789062,2,2,4
207,Dell'Agnese Leonardo,95.84071350097656,3,1,4
208,Giuriceo Luca,95.772216796875,1,1,2
209,Pieroni Rossano,95.6877212524414,0,3,3
210,Lenzi Silvano,95.51966857910156,2,2,4
211,Andrea Fano,95.16532897949219,2,1,3
212,Simonetti Filippo,95.06864166259766,0,2,2
213,Ferrari Simone,95.044677734375,0,6,6
214,Compagnoni Simone,94.91749572753906,2,0,2
215,Bini Mattia,94.68610382080078,2,4,6
216,Simoni Mattia,94.65035247802734,0,3,3
217,Manfredi Marco,94.08087158203125,2,0,2
218,Griseta Luca,93.69111633300781,3,0,3
219,Baldacci Giorgio,92.90396118164062,1,1,2
220,Recidivi Leopoldo,92.46851348876953,0,1,1
221,Ceragioli Simone,91.83787536621094,2,4,6
222,Micheletti Nicola,91.80766296386719,2,0,2
